Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Tiri totali,Tiri in porta,Falli commessi,Falli subiti,Fuorigioco
202,Éderson,BRA,Cen,Atalanta,25-206,1999,6,5,477,5.3,0,0,0,0,0,0,3,0,0.4,0.4,0.4,0.7,11,45,8,1,6,12,0
203,Ederson,BRA,Por,Manchester City,31-165,1993,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
204,Marcus Edwards,ENG,Cen,Sporting CP,26-057,1998,1,1,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,3,1,0,0,1,0
205,Eguinaldo,BRA,Att,Shakhtar,20-173,2004,7,5,406,4.5,0,1,1,0,0,0,0,0,0.9,0.9,0.4,1.3,7,6,9,3,7,5,3
206,Meschak Elia,COD,Cen.Att,Young Boys,27-176,1997,4,0,112,1.2,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,3,1,2,0,3,0,3
207,Harvey Elliott,ENG,Cen,Liverpool,21-300,2003,2,0,60,0.7,1,0,1,1,0,0,1,0,0.0,0.0,0.0,0.1,0,3,1,1,0,1,0
208,Elif Elmas,MKD,Cen,RB Leipzig,25-127,1999,3,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,3,0,0,1,2,0
209,Timi Elšnik,SVN,Cen.Dif,Red Star,26-275,1998,7,7,630,7.0,0,2,2,0,0,0,1,0,0.3,0.3,1.2,1.5,14,43,5,3,8,4,2
210,Breel Embolo,SUI,Att,Monaco,27-350,1997,7,7,501,5.6,1,2,3,1,0,0,1,0,2.2,2.2,1.3,3.5,5,12,12,6,14,14,5
211,Emerson,BRA,Dif,Milan,26-015,1999,7,4,317,3.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,6,16,3,1,3,4,0
212,Wataru Endo,JPN,Cen,Liverpool,31-355,1993,3,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,2,3,0
213,Endrick,BRA,Att,Real Madrid,18-192,2006,4,1,99,1.1,1,0,1,1,0,0,2,0,0.7,0.7,0.4,1.1,0,1,4,2,4,1,0
214,Arne Engels,BEL,Cen,Celtic,21-143,2003,7,6,472,5.2,1,3,4,0,1,2,0,0,2.2,0.7,1.8,2.4,7,17,9,4,6,10,0
215,Luis Enrique Palma,HON,Att,Celtic,25-012,2000,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
216,Ricardo Esgaio,POR,Dif,Sporting CP,31-258,1993,3,1,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0,0,0,0
217,Giovanni Fabbian,ITA,Cen,Bologna,22-015,2003,6,5,400,4.4,0,0,0,0,0,0,2,0,0.8,0.8,0.0,0.8,4,6,7,4,6,9,1
218,Nicolò Fagioli,ITA,Cen.Att,Juventus,23-352,2001,4,2,207,2.3,0,1,1,0,0,0,0,0,0.3,0.3,0.7,1.0,6,15,6,2,1,0,0
219,Romain Faivre,FRA,Att.Cen,Brest,26-199,1998,5,1,138,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,3,1,0,0,5,1
220,Ansu Fati,ESP,Att.Cen,Barcelona,22-090,2002,3,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,0,0,1,0,0
